signature,group,delta_z,delta_lo,delta_hi,se,n_group,n_reference,n_strata_used,n_strata_dropped,strata,Q,df,I2_pct,heterogeneous,mde_80pct,p,q_bh,significant_bh
SIG_HALLMARK_INFLAMMATORY_RESPONSE,AMR,0.07890771300921039,-0.22354598671614778,0.3813614127345686,0.15431594769652626,52,510,2,29,"CESC, THCA",0.0016731627992517333,1,0.0,False,0.43232927798568194,0.6091139246378701,0.8353562395033647,False
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,AFR,0.08892799465481142,-0.01582678269436935,0.1936827720039922,0.05344729708069796,453,3196,11,20,"CESC, COAD, HNSC, KIRC, KIRP, LGG, LUAD, LUSC, PRAD, THCA, UCEC",28.967561944221362,10,65.47862737203928,True,0.14973715744937582,0.09614349590431794,0.2714639884357212,False
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,ASIAN,0.12718288577385573,-0.0032773167017075,0.25764308824941895,0.0665625508961474,353,1114,5,26,"BLCA, ESCA, LIHC, STAD, THCA",0.7076939675314622,4,0.0,False,0.18648065867053867,0.056039629530501574,0.1789395205971565,False
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,AMR,0.10650892589127663,-0.19594477383408154,0.4089626256166348,0.15431594769652626,52,510,2,29,"CESC, THCA",0.12500938822785473,1,0.0,False,0.43232927798568194,0.4900681838139459,0.8329361994281945,False
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,AFR,0.045608881211558844,-0.05914589613762193,0.15036365856073963,0.05344729708069796,453,3196,11,20,"CESC, COAD, HNSC, KIRC, KIRP, LGG, LUAD, LUSC, PRAD, THCA, UCEC",29.619988525064883,10,66.23901460482388,True,0.14973715744937582,0.393469075494133,0.7704525592550445,False
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,ASIAN,0.19931405997907323,0.06885385750351,0.3297742624546365,0.0665625508961474,353,1114,5,26,"BLCA, ESCA, LIHC, STAD, THCA",1.543709229410984,4,0.0,False,0.18648065867053867,0.00274996587682338,0.02199972701458704,True
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,AMR,0.1294868543335219,-0.1729668453918363,0.4319405540588801,0.15431594769652626,52,510,2,29,"CESC, THCA",0.1688062951326435,1,0.0,False,0.43232927798568194,0.40141195029472054,0.7704525592550445,False
SIG_HALLMARK_MYC_TARGETS_V1,AFR,0.041871768037786625,-0.06288300931139415,0.1466265453869674,0.05344729708069796,453,3196,11,20,"CESC, COAD, HNSC, KIRC, KIRP, LGG, LUAD, LUSC, PRAD, THCA, UCEC",13.543383508873328,10,26.163207344396476,False,0.14973715744937582,0.4333795645809625,0.7704525592550445,False
SIG_HALLMARK_MYC_TARGETS_V1,ASIAN,0.1815817498492421,0.05112154737367888,0.31204195232480536,0.0665625508961474,353,1114,5,26,"BLCA, ESCA, LIHC, STAD, THCA",14.217324282919309,4,71.86531079687336,True,0.18648065867053867,0.006372218797502977,0.03398516692001588,True
SIG_HALLMARK_MYC_TARGETS_V1,AMR,-0.08350780425124031,-0.3859615039765985,0.21894589547411786,0.15431594769652626,52,510,2,29,"CESC, THCA",0.37930789623207806,1,0.0,False,0.43232927798568194,0.5884054070536378,0.8353562395033647,False
SIG_HALLMARK_TGF_BETA_SIGNALING,AFR,0.060982908205696996,-0.04377186914348378,0.16573768555487778,0.05344729708069796,453,3196,11,20,"CESC, COAD, HNSC, KIRC, KIRP, LGG, LUAD, LUSC, PRAD, THCA, UCEC",20.67427639135574,10,51.630713401020564,True,0.14973715744937582,0.2538734871590257,0.6092963691816616,False
SIG_HALLMARK_TGF_BETA_SIGNALING,ASIAN,0.12536374787023644,-0.005096454605326789,0.25582395034579963,0.0665625508961474,353,1114,5,26,"BLCA, ESCA, LIHC, STAD, THCA",4.02916537724456,4,0.7238565438211264,False,0.18648065867053867,0.05964650686571883,0.1789395205971565,False
SIG_HALLMARK_TGF_BETA_SIGNALING,AMR,-0.22750609631761964,-0.5299597960429778,0.07494760340773854,0.15431594769652626,52,510,2,29,"CESC, THCA",1.6428290415342035,1,39.129393581567015,False,0.43232927798568194,0.14040415818501625,0.3744110884933767,False
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,AFR,0.024962669778306475,-0.0797921075708743,0.12971744712748726,0.05344729708069796,453,3196,11,20,"CESC, COAD, HNSC, KIRC, KIRP, LGG, LUAD, LUSC, PRAD, THCA, UCEC",18.63054450075844,10,46.32470350186005,True,0.14973715744937582,0.6404626375947067,0.8539501834596089,False
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,ASIAN,0.14321960385086138,0.012759401375298157,0.27367980632642464,0.0665625508961474,353,1114,5,26,"BLCA, ESCA, LIHC, STAD, THCA",3.0854091215802697,4,0.0,False,0.18648065867053867,0.03142458609168542,0.13712546658190003,False
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,AMR,-0.12286584404560984,-0.42531954377096803,0.17958785567974833,0.15431594769652626,52,510,2,29,"CESC, THCA",0.7761906727986247,1,0.0,False,0.43232927798568194,0.4259177314137518,0.7704525592550445,False
